"","Cycle","SPCODE","hab_09","N","Cover","sd","se","ci"
"1","C1","CLAJAM","ridge",70,46.3857142857143,24.0809581741228,2.87822501498965,5.74190179730056
"2","C1","CLAJAM","slough",39,31.2820512820513,20.0236028068308,3.20634254998418,6.49090114569059
"3","C1","CLAJAM","trans",22,26.1363636363636,21.488192670451,4.58129807052753,9.52733089429326
"4","C1","ELECEL","ridge",70,11.0714285714286,17.7031246145423,2.11592810139128,4.2211610645671
"5","C1","ELECEL","slough",39,20.3589743589744,15.843788720683,2.53703663712083,5.13596216181825
"6","C1","ELECEL","trans",22,19.1363636363636,14.3835072699701,3.06657405366375,6.37728985788181
"7","C1","NYMAQU","ridge",70,0,0,0,0
"8","C1","NYMAQU","slough",39,0,0,0,0
"9","C1","NYMAQU","trans",22,0,0,0,0
"10","C1","NYMODO","ridge",70,0,0,0,0
"11","C1","NYMODO","slough",39,0,0,0,0
"12","C1","NYMODO","trans",22,0,0,0,0
"13","C1","TYPDOM","ridge",70,0.214285714285714,1.32853692156706,0.158790533721399,0.316778447209936
"14","C1","TYPDOM","slough",39,0,0,0,0
"15","C1","TYPDOM","trans",22,0.0454545454545455,0.21320071635561,0.0454545454545455,0.0945279020330764
"16","C1","UTRPUR","ridge",70,0.385714285714286,1.77170070707361,0.211758737227235,0.422447121940372
"17","C1","UTRPUR","slough",39,1.82051282051282,6.008204017805,0.962082617055422,1.94763443516815
"18","C1","UTRPUR","trans",22,3.90909090909091,10.4421722375644,2.2262786013574,4.62979980160383
"19","C2","CLAJAM","ridge",71,13.6760563380282,20.0640222771915,2.38116136281638,4.74907659111664
"20","C2","CLAJAM","slough",39,4.79487179487179,4.92672351450678,0.788907140686082,1.59705901147338
"21","C2","CLAJAM","trans",22,3.86363636363636,3.2992849809135,0.703409921392064,1.46282101104575
"22","C2","ELECEL","ridge",71,1.77464788732394,3.39830707053881,0.403304850022594,0.804366160242374
"23","C2","ELECEL","slough",39,3.30769230769231,4.37789811471601,0.701024742656246,1.4191503977912
"24","C2","ELECEL","trans",22,2.04545454545455,1.1329385612423,0.241543312843754,0.50231681749126
"25","C2","NYMAQU","ridge",71,0,0,0,0
"26","C2","NYMAQU","slough",39,0,0,0,0
"27","C2","NYMAQU","trans",22,0,0,0,0
"28","C2","NYMODO","ridge",71,0,0,0,0
"29","C2","NYMODO","slough",39,0,0,0,0
"30","C2","NYMODO","trans",22,0,0,0,0
"31","C2","TYPDOM","ridge",71,0.0422535211267606,0.26385167469134,0.0313134328007413,0.0624526724747517
"32","C2","TYPDOM","slough",39,0,0,0,0
"33","C2","TYPDOM","trans",22,0.0909090909090909,0.426401432711221,0.0909090909090909,0.189055804066153
"34","C2","UTRPUR","ridge",71,3.2112676056338,11.8573852730304,1.40721273561704,2.80659730407168
"35","C2","UTRPUR","slough",39,1.97435897435897,2.05819516602058,0.329574992105431,0.667189690589568
"36","C2","UTRPUR","trans",22,0.863636363636364,1.20694239991391,0.257320984261606,0.535128281409389
"37","C3","CLAJAM","ridge",71,24.2535211267606,16.619883367185,1.97241727414963,3.93386221146258
"38","C3","CLAJAM","slough",39,10.7179487179487,10.6646210926564,1.70770608659787,3.45707023538567
"39","C3","CLAJAM","trans",22,6,7.07779895837951,1.50899180814751,3.13812025580421
"40","C3","ELECEL","ridge",71,4.71830985915493,5.69255930037887,0.675582496587048,1.34740680325624
"41","C3","ELECEL","slough",39,16.9487179487179,17.081767315734,2.73527186399657,5.53726839818727
"42","C3","ELECEL","trans",22,10.4545454545455,7.77497372665763,1.65762996816946,3.44723023124071
"43","C3","NYMAQU","ridge",71,0.0140845070422535,0.118678165819385,0.0140845070422535,0.028090663546073
"44","C3","NYMAQU","slough",39,0,0,0,0
"45","C3","NYMAQU","trans",22,0,0,0,0
"46","C3","NYMODO","ridge",71,0,0,0,0
"47","C3","NYMODO","slough",39,0,0,0,0
"48","C3","NYMODO","trans",22,0,0,0,0
"49","C3","TYPDOM","ridge",71,0.169014084507042,0.861658127316293,0.102260006113264,0.203951151242242
"50","C3","TYPDOM","slough",39,0,0,0,0
"51","C3","TYPDOM","trans",22,0.136363636363636,0.639602149066831,0.136363636363636,0.283583706099229
"52","C3","UTRPUR","ridge",71,6.95774647887324,13.9472850606625,1.65523820915954,3.30126851316947
"53","C3","UTRPUR","slough",39,18.3333333333333,18.6848282576411,2.99196705306119,6.05692064083397
"54","C3","UTRPUR","trans",22,19.5909090909091,17.3305650470054,3.69488888286905,7.68394207554487
